14546aa5-8dc0-42ea-876e-4ed9e327ae45,['Jeepney', 'Truck (Unknown)', 'Van']
2a01a445-2061-4b28-b1d5-c58d75b38650,['Motorcycle', 'Motorcycle', 'Motorcycle']
39c3280c-ab30-4ca5-822c-e7ee2004b116,['Motorcycle', 'Motorcycle', 'Truck (Unknown)']
3e31dc29-6d3e-4891-8fed-4dd51061d2c2,['Truck (Unknown)', 'Truck (Unknown)', 'Motorcycle']
449563b7-57e8-40fd-a28e-71a0444c03af,['Motorcycle', 'Motorcycle', '']
45541c4d-39d9-4242-b249-d7a16b420b54,['Motorcycle', 'Truck (Pick-Up)', 'SUV']
4d8de656-5385-4833-a94c-51c465e3dcf1,['Motorcycle', 'SUV', 'Truck (Unknown)']
4f524f0f-1dc2-4dfb-bba7-1daff40dc161,['Motorcycle', 'Motorcycle', 'Tricycle']
5766e124-7de0-45b3-a742-424ade7380ae,['Truck (Unknown)', 'Bus', 'Van']
58ebe272-e2e7-4fe2-9c4d-c4da794a71f9,['Motorcycle', 'Truck (Articulated)', 'Truck (Pick-Up)']
5d10860e-cd0e-4896-9607-d793c4b12366,['Motorcycle', 'Truck (Rigid)', 'Truck (Unknown)']
7031cddb-c2ff-4e61-83d9-652dc4517730,['Truck (Unknown)', 'Truck (Unknown)', 'SUV']
70e831dd-4482-4a4a-a0e1-0fccc2d92d36,['Car', 'Motorcycle', 'Motorcycle']
828db354-c73c-487e-94f3-f217e2779b97,['Motorcycle', 'Motorcycle', 'Truck (Pick-Up)']
83bde932-ff3d-475c-84d2-503922159a7e,['Motorcycle', 'Motorcycle', 'Truck (Articulated)']
89e2872f-a996-44fe-b126-28c776f0ce6f,['Truck (Unknown)', 'Truck (Unknown)', 'Motorcycle']
8e107346-7b0f-4a0d-aeea-c59f95911a6b,['Truck (Pick-Up)', 'Motorcycle', 'Motorcycle', 'Pedicab', 'Pedicab']
969f0cd3-9c2c-4eb4-a0b3-1979423ccf96,['Motorcycle', 'Motorcycle', 'Truck (Rigid)']
99deec28-7234-49f2-aa9b-8662b31c4d89,['Bus', 'Motorcycle', 'Truck (Rigid)']
c6a8c384-f56f-4dae-9603-dfb4761696d1,['Car', '', '']
d2b91f23-6399-4dd9-9237-67f5fed2de32,['Jeepney', 'Van', 'Motorcycle']
e164de41-af36-4126-9014-bf7570c2ddfb,['Truck (Pick-Up)', 'Van', 'Motorcycle', 'Bus']
ef88e61d-14be-403f-ada9-303f61af7dc0,['Truck (Unknown)', 'Bus', 'Tricycle', 'Motorcycle']
f0e96456-ef48-440f-a333-c59c77fd8739,['Jeepney', 'Truck (Unknown)', 'Jeepney', 'Van']
ff82f662-7326-4d1d-8467-16d124168e77,['Truck (Rigid)', 'Motorcycle', 'Truck (Rigid)']
